history:OCC_OZETTE_LIVING/A_TIER/Room Temperature
01-Dec-23 10:30 AM PST  to  01-Dec-24 1:16 PM PST

Timestamp,Trend Flags,Status,Value (°F)
"02-Dec-23 7:30:01 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 7:45:00 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 8:00:01 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 8:15:01 AM PST","{ }","{ok}","66.0 °F"
"02-Dec-23 8:30:01 AM PST","{ }","{ok}","66.0 °F"
"02-Dec-23 8:45:00 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 9:00:01 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 9:15:01 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 9:30:01 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 9:45:00 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 10:00:01 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 10:15:01 AM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 10:30:01 AM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 10:45:00 AM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 11:00:01 AM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 11:15:01 AM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 11:30:01 AM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 11:45:00 AM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 12:00:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 12:15:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 12:30:01 PM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 12:45:00 PM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 1:00:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 1:15:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 1:30:01 PM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 1:45:00 PM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 2:00:01 PM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 2:15:01 PM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 2:30:01 PM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 2:45:00 PM PST","{ }","{ok}","69.0 °F"
"02-Dec-23 3:00:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 3:15:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 3:30:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 3:45:00 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 4:00:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 4:15:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 4:30:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 4:45:00 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 5:00:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 5:15:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 5:30:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 5:45:00 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 6:00:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 6:15:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 6:30:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 6:45:00 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 7:00:01 PM PST","{ }","{ok}","68.0 °F"
"02-Dec-23 7:15:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 7:30:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 7:45:00 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 8:00:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 8:15:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 8:30:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 8:45:00 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 9:00:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 9:15:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 9:30:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 9:45:00 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 10:00:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 10:15:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 10:30:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 10:45:00 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 11:00:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 11:15:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 11:30:01 PM PST","{ }","{ok}","67.0 °F"
"02-Dec-23 11:45:00 PM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 12:00:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 12:15:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 12:30:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 12:45:00 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 1:00:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 1:15:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 1:30:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 1:45:00 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 2:00:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 2:15:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 2:30:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 2:45:00 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 3:00:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 3:15:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 3:30:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 3:45:00 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 4:00:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 4:15:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 4:30:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 4:45:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 5:00:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 5:15:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 5:30:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 5:45:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 6:00:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 6:15:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 6:30:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 6:45:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 7:00:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 7:15:01 AM PST","{ }","{ok}","66.0 °F"
"03-Dec-23 7:30:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 7:45:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 8:00:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 8:15:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 8:30:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 8:45:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 9:00:01 AM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 9:15:01 AM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 9:30:01 AM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 9:45:01 AM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 10:00:01 AM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 10:15:01 AM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 10:30:01 AM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 10:45:01 AM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 11:00:01 AM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 11:15:01 AM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 11:30:01 AM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 11:45:01 AM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 12:00:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 12:15:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 12:30:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 12:45:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 1:00:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 1:15:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 1:30:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 1:45:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 2:00:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 2:15:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 2:30:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 2:45:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 3:00:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 3:15:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 3:30:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 3:45:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 4:00:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 4:15:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 4:30:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 4:45:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 5:00:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 5:15:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 5:30:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 5:45:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 6:00:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 6:15:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 6:30:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 6:45:01 PM PST","{ }","{ok}","70.0 °F"
"03-Dec-23 7:00:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 7:15:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 7:30:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 7:45:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 8:00:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 8:15:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 8:30:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 8:45:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 9:00:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 9:15:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 9:30:01 PM PST","{ }","{ok}","69.0 °F"
"03-Dec-23 9:45:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 10:00:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 10:15:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 10:30:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 10:45:01 PM PST","{ }","{ok}","68.0 °F"
"03-Dec-23 11:00:01 PM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 11:15:01 PM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 11:30:01 PM PST","{ }","{ok}","67.0 °F"
"03-Dec-23 11:45:01 PM PST","{ }","{ok}","68.0 °F"
"04-Dec-23 12:00:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 12:15:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 12:30:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 12:45:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 1:00:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 1:15:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 1:30:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 1:45:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 2:00:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 2:15:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 2:30:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 2:45:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 3:00:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 3:15:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 3:30:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 3:45:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 4:00:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 4:15:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 4:30:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 4:45:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 5:00:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 5:15:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 5:30:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 5:45:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 6:00:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 6:15:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 6:30:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 6:45:01 AM PST","{ }","{ok}","66.0 °F"
"04-Dec-23 7:00:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 7:15:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 7:30:01 AM PST","{ }","{ok}","67.0 °F"
"04-Dec-23 7:45:01 AM PST","{ }","{ok}","68.0 °F"
"04-Dec-23 8:00:01 AM PST","{ }","{ok}","68.0 °F"
"04-Dec-23 8:15:01 AM PST","{ }","{ok}","68.0 °F"
"04-Dec-23 8:30:01 AM PST","{ }","{ok}","68.0 °F"
"04-Dec-23 8:45:01 AM PST","{ }","{ok}","68.0 °F"
"04-Dec-23 9:00:01 AM PST","{ }","{ok}","68.0 °F"
"04-Dec-23 9:15:01 AM PST","{ }","{ok}","68.0 °F"
"04-Dec-23 9:30:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 9:45:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 10:00:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 10:15:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 10:30:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 10:45:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 11:00:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 11:15:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 11:30:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 11:45:01 AM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 12:00:01 PM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 12:15:01 PM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 12:30:01 PM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 12:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 1:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 1:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 1:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 1:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 2:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 2:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 2:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 2:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 3:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 3:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 3:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 3:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 4:00:01 PM PST","{ }","{ok}","71.0 °F"
"04-Dec-23 4:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 4:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 4:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 5:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 5:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 5:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 5:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 6:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 6:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 6:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 6:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 7:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 7:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 7:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 7:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 8:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 8:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 8:30:01 PM PST","{ }","{ok}","69.0 °F"
"04-Dec-23 8:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 9:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 9:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 9:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 9:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 10:00:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 10:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 10:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 10:45:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 11:00:01 PM PST","{ }","{ok}","71.0 °F"
"04-Dec-23 11:15:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 11:30:01 PM PST","{ }","{ok}","70.0 °F"
"04-Dec-23 11:45:01 PM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 12:00:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 12:15:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 12:30:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 12:45:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 1:00:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 1:15:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 1:30:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 1:45:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 2:00:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 2:15:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 2:30:01 AM PST","{ }","{ok}","70.0 °F"
